Year/Month,Category,Price
2020/01,Bread and cereals,1.8705806
2020/02,Bread and cereals,1.8669654
2020/03,Bread and cereals,1.8491614
2020/04,Bread and cereals,1.8895332
2020/05,Bread and cereals,1.8906452
2020/06,Bread and cereals,1.8888
2020/07,Bread and cereals,1.8899354
2020/08,Bread and cereals,1.8692902
2020/09,Bread and cereals,1.8834
2020/10,Bread and cereals,1.9902582
2020/11,Bread and cereals,2.0492666
2020/12,Bread and cereals,2.0563872
2021/01,Bread and cereals,2.2011612
2021/02,Bread and cereals,2.334375
2021/03,Bread and cereals,2.33064525
2021/04,Bread and cereals,2.30649975
2021/05,Bread and cereals,2.5930645
2021/06,Bread and cereals,2.6068335
2021/07,Bread and cereals,2.490947
2021/08,Bread and cereals,2.3976746666666666
2021/09,Bread and cereals,2.430333333333333
2021/10,Bread and cereals,2.7183065
2021/11,Bread and cereals,2.91325
2021/12,Bread and cereals,2.80008075
2022/01,Bread and cereals,2.762903
2022/02,Bread and cereals,2.7914285
2022/03,Bread and cereals,3.935968
2022/04,Bread and cereals,4.0495
2022/05,Bread and cereals,3.88822925
2022/06,Bread and cereals,3.7599165
2022/07,Bread and cereals,3.5235615
2022/08,Bread and cereals,2.7866085
2022/09,Bread and cereals,2.5629596666666665
2022/10,Bread and cereals,2.703199
2022/11,Bread and cereals,2.5734103333333334
2022/12,Bread and cereals,2.3531293333333334
2023/01,Bread and cereals,2.59171
2023/02,Bread and cereals,2.600309333333333
2023/03,Bread and cereals,2.373441
2023/04,Bread and cereals,2.142679
2023/05,Bread and cereals,1.9687095
2023/06,Bread and cereals,1.9753443333333331
2020/01,Fruit,1.5546382727272727
2020/02,Fruit,1.578403909090909
2020/03,Fruit,1.303911090909091
2020/04,Fruit,1.0408641111111112
2020/05,Fruit,0.884035125
2020/06,Fruit,0.987685111111111
2020/07,Fruit,0.9517704285714286
2020/08,Fruit,0.9101154285714286
2020/09,Fruit,1.0918034444444444
2020/10,Fruit,1.0999764545454545
2020/11,Fruit,1.1025648181818182
2020/12,Fruit,1.1883805454545455
2021/01,Fruit,1.5457265454545457
2021/02,Fruit,1.5973530000000002
2021/03,Fruit,1.7370274
2021/04,Fruit,0.9921089
2021/05,Fruit,1.111224
2021/06,Fruit,0.8512884999999999
2021/07,Fruit,1.1326193333333332
2021/08,Fruit,1.151510625
2021/09,Fruit,0.8472505
2021/10,Fruit,0.8693899166666667
2021/11,Fruit,1.0876665833333332
2021/12,Fruit,1.1413459166666666
2022/01,Fruit,1.4996037499999997
2022/02,Fruit,1.4510612727272727
2022/03,Fruit,1.4730235
2022/04,Fruit,1.022698909090909
2022/05,Fruit,0.726541
2022/06,Fruit,0.7611737
2022/07,Fruit,0.812178125
2022/08,Fruit,0.7953009
2022/09,Fruit,1.1422892999999998
2022/10,Fruit,0.82880325
2022/11,Fruit,0.9686165833333332
2022/12,Fruit,1.0271478333333337
2023/01,Fruit,1.4958028333333333
2023/02,Fruit,2.093023363636364
2023/03,Fruit,1.6684652727272729
2023/04,Fruit,1.3081446
2023/05,Fruit,0.9909497777777776
2023/06,Fruit,0.836848625
2020/01,Meat,2.461249111111111
2020/02,Meat,2.501306555555556
2020/03,Meat,2.5504575555555555
2020/04,Meat,2.465582111111111
2020/05,Meat,2.390349333333333
2020/06,Meat,2.407637
2020/07,Meat,2.370627333333333
2020/08,Meat,2.3376157777777777
2020/09,Meat,2.3223358888888885
2020/10,Meat,2.263276888888889
2020/11,Meat,2.234558888888889
2020/12,Meat,2.2551512222222225
2021/01,Meat,2.3402807777777777
2021/02,Meat,2.404041666666666
2021/03,Meat,2.5253024444444443
2021/04,Meat,2.580356
2021/05,Meat,2.626389333333333
2021/06,Meat,2.672052555555556
2021/07,Meat,2.6153473333333337
2021/08,Meat,2.574645888888889
2021/09,Meat,2.580704888888889
2021/10,Meat,2.598601
2021/11,Meat,2.6525963333333333
2021/12,Meat,2.7050315555555557
2022/01,Meat,2.747923777777778
2022/02,Meat,2.8441572222222224
2022/03,Meat,3.152166666666667
2022/04,Meat,3.332296
2022/05,Meat,3.3343267777777776
2022/06,Meat,3.445332333333333
