Year/Month,Category,Price
2020/01,Bread and cereals,
2020/02,Bread and cereals,
2020/03,Bread and cereals,
2020/04,Bread and cereals,
2020/05,Bread and cereals,
2020/06,Bread and cereals,
2020/07,Bread and cereals,
2020/08,Bread and cereals,
2020/09,Bread and cereals,
2020/10,Bread and cereals,
2020/11,Bread and cereals,
2020/12,Bread and cereals,
2021/01,Bread and cereals,
2021/02,Bread and cereals,
2021/03,Bread and cereals,
2021/04,Bread and cereals,
2021/05,Bread and cereals,
2021/06,Bread and cereals,
2021/07,Bread and cereals,
2021/08,Bread and cereals,
2021/09,Bread and cereals,
2021/10,Bread and cereals,
2021/11,Bread and cereals,
2021/12,Bread and cereals,
2022/01,Bread and cereals,
2022/02,Bread and cereals,2.621955
2022/03,Bread and cereals,2.6671325
2022/04,Bread and cereals,2.845397666666667
2022/05,Bread and cereals,3.0838125
2022/06,Bread and cereals,3.223801333333333
2022/07,Bread and cereals,3.3673615
2022/08,Bread and cereals,3.1152866666666665
2022/09,Bread and cereals,3.465154333333333
2022/10,Bread and cereals,3.883952833333333
2022/11,Bread and cereals,3.225034166666666
2022/12,Bread and cereals,3.2614603333333334
2023/01,Bread and cereals,3.1287956666666665
2023/02,Bread and cereals,3.058522333333334
2023/03,Bread and cereals,3.0112156666666667
2023/04,Bread and cereals,3.007986666666667
2023/05,Bread and cereals,2.9240736666666667
2023/06,Bread and cereals,2.8938701666666664
2020/01,Fruit,
2020/02,Fruit,
2020/03,Fruit,
2020/04,Fruit,
2020/05,Fruit,
2020/06,Fruit,
2020/07,Fruit,
2020/08,Fruit,
2020/09,Fruit,
2020/10,Fruit,
2020/11,Fruit,
2020/12,Fruit,
2021/01,Fruit,
2021/02,Fruit,
2021/03,Fruit,
2021/04,Fruit,
2021/05,Fruit,
2021/06,Fruit,
2021/07,Fruit,
2021/08,Fruit,
2021/09,Fruit,
2021/10,Fruit,
2021/11,Fruit,
2021/12,Fruit,
2022/01,Fruit,
2022/02,Fruit,
2022/03,Fruit,
2022/04,Fruit,
2022/05,Fruit,
2022/06,Fruit,
2022/07,Fruit,
2022/08,Fruit,
2022/09,Fruit,
2022/10,Fruit,
2022/11,Fruit,
2022/12,Fruit,
2023/01,Fruit,
2023/02,Fruit,
2023/03,Fruit,
2023/04,Fruit,
2023/05,Fruit,
2023/06,Fruit,
2020/01,Meat,2.9403958181818184
2020/02,Meat,2.883132583333333
2020/03,Meat,2.935419083333333
2020/04,Meat,2.837231916666666
2020/05,Meat,2.5476421818181816
2020/06,Meat,2.566372
2020/07,Meat,2.596744909090909
2020/08,Meat,2.6068765454545453
2020/09,Meat,2.567438909090909
2020/10,Meat,2.513208818181818
2020/11,Meat,2.4587577272727272
2020/12,Meat,2.4811812727272726
2021/01,Meat,2.4688206363636365
2021/02,Meat,2.457724818181818
2021/03,Meat,2.5730903
2021/04,Meat,2.6311445
2021/05,Meat,2.6963809
2021/06,Meat,2.7340697
2021/07,Meat,2.8302237
2021/08,Meat,2.8317844
2021/09,Meat,2.8655113
2021/10,Meat,2.8530166
2021/11,Meat,2.8961462
2021/12,Meat,3.0189076
2022/01,Meat,3.0451572
2022/02,Meat,3.0842627777777776
2022/03,Meat,3.141375
2022/04,Meat,3.3827904444444443
2022/05,Meat,3.5883944444444444
2022/06,Meat,3.802379555555556
2022/07,Meat,4.003967111111112
2022/08,Meat,4.042681666666667
2022/09,Meat,3.9216737777777775
2022/10,Meat,3.864071222222222
2022/11,Meat,3.751094222222223
2022/12,Meat,3.666922111111111
2023/01,Meat,3.5527526666666667
2023/02,Meat,3.401219111111111
2023/03,Meat,3.4429794444444446
2023/04,Meat,3.532345888888889
2023/05,Meat,3.631688111111111
2023/06,Meat,3.633914666666667
2020/01,"Milk, cheese and eggs",1.0303945
2020/02,"Milk, cheese and eggs",1.0352835
2020/03,"Milk, cheese and eggs",1.0354485
2020/04,"Milk, cheese and eggs",1.031822
2020/05,"Milk, cheese and eggs",1.0324635
2020/06,"Milk, cheese and eggs",1.028859
2020/07,"Milk, cheese and eggs",1.026687
2020/08,"Milk, cheese and eggs",1.009954
2020/09,"Milk, cheese and eggs",1.4142826666666668
2020/10,"Milk, cheese and eggs",1.017813
2020/11,"Milk, cheese and eggs",1.017296
2020/12,"Milk, cheese and eggs",1.008568
2021/01,"Milk, cheese and eggs",1.008891
