Year/Month,Category,Price
2020/01,Bread and cereals,1.844222055555556
2020/02,Bread and cereals,1.8895019722222224
2020/03,Bread and cereals,1.8911223055555555
2020/04,Bread and cereals,1.9807489166666663
2020/05,Bread and cereals,1.85361125
2020/06,Bread and cereals,1.7524698
2020/07,Bread and cereals,1.8497604305555555
2020/08,Bread and cereals,1.8443940138888888
2020/09,Bread and cereals,1.7922252916666668
2020/10,Bread and cereals,1.7564699027777777
2020/11,Bread and cereals,1.7713264166666665
2020/12,Bread and cereals,1.8805342777777776
2021/01,Bread and cereals,1.980575
2021/02,Bread and cereals,2.0949536666666666
2021/03,Bread and cereals,2.129624138888889
2021/04,Bread and cereals,2.1691110833333336
2021/05,Bread and cereals,2.168101083333333
2021/06,Bread and cereals,2.0625
2021/07,Bread and cereals,2.0739455833333333
2021/08,Bread and cereals,2.2901907500000003
2021/09,Bread and cereals,2.5706652222222224
2021/10,Bread and cereals,2.645976777777778
2021/11,Bread and cereals,2.816389
2021/12,Bread and cereals,2.897604416666667
2022/01,Bread and cereals,2.9668045277777773
2022/02,Bread and cereals,2.946736111111111
2022/03,Bread and cereals,3.2938441666666667
2022/04,Bread and cereals,3.605146583333333
2022/05,Bread and cereals,3.652679138888889
2022/06,Bread and cereals,3.7120071111111113
2022/07,Bread and cereals,3.6545097222222234
2022/08,Bread and cereals,3.5274865555555555
2022/09,Bread and cereals,3.3794620833333333
2022/10,Bread and cereals,3.361055277777778
2022/11,Bread and cereals,3.609064833333333
2022/12,Bread and cereals,3.470358444444445
2023/01,Bread and cereals,3.353447555555556
2023/02,Bread and cereals,3.286469861111111
2023/03,Bread and cereals,3.2073925
2023/04,Bread and cereals,2.850620555555556
2023/05,Bread and cereals,2.649406416666667
2023/06,Bread and cereals,2.455816555555556
2020/01,Fruit,0.744135
2020/02,Fruit,0.8984458181818181
2020/03,Fruit,0.9709897
2020/04,Fruit,1.0600637777777775
2020/05,Fruit,1.2275296666666666
2020/06,Fruit,1.1557225384615384
2020/07,Fruit,1.1063708461538462
2020/08,Fruit,1.053529923076923
2020/09,Fruit,0.939219090909091
2020/10,Fruit,1.116732090909091
2020/11,Fruit,1.038801
2020/12,Fruit,0.89247
2021/01,Fruit,1.0739895714285714
2021/02,Fruit,1.0652607142857142
2021/03,Fruit,1.1230585714285712
2021/04,Fruit,1.078699
2021/05,Fruit,1.2099598
2021/06,Fruit,1.1058441
2021/07,Fruit,1.168094222222222
2021/08,Fruit,1.2726022222222222
2021/09,Fruit,1.2189825833333334
2021/10,Fruit,1.191196666666667
2021/11,Fruit,0.9074606363636364
2021/12,Fruit,0.8169593
2022/01,Fruit,0.9238857
2022/02,Fruit,1.0588372
2022/03,Fruit,1.105171
2022/04,Fruit,1.252816625
2022/05,Fruit,1.4819374545454544
2022/06,Fruit,1.1959205454545456
2022/07,Fruit,1.2225518
2022/08,Fruit,1.1034868
2022/09,Fruit,1.052047
2022/10,Fruit,1.0914809166666666
2022/11,Fruit,1.0212744
2022/12,Fruit,0.9454088181818182
2023/01,Fruit,0.9612717
2023/02,Fruit,1.0520529
2023/03,Fruit,1.0575751
2023/04,Fruit,1.299165
2023/05,Fruit,1.1991698888888889
2023/06,Fruit,1.1692665454545454
2020/01,Meat,3.0695631428571426
2020/02,Meat,2.996200285714285
2020/03,Meat,2.9371917142857145
2020/04,Meat,2.9167384285714286
2020/05,Meat,2.879353857142857
2020/06,Meat,2.748328666666666
2020/07,Meat,2.7667606666666664
2020/08,Meat,3.1923635
2020/09,Meat,3.194880875
2020/10,Meat,3.16048075
2020/11,Meat,3.13645675
2020/12,Meat,3.0378615
2021/01,Meat,3.020654875
2021/02,Meat,3.0130625
2021/03,Meat,2.8964222222222222
2021/04,Meat,2.9594080000000003
2021/05,Meat,2.863277375
2021/06,Meat,2.949299
2021/07,Meat,2.933956375
2021/08,Meat,2.744
2021/09,Meat,2.7184502
2021/10,Meat,2.9362585
2021/11,Meat,2.513593833333333
2021/12,Meat,2.921652375
2022/01,Meat,2.818714125
2022/02,Meat,2.829503375
2022/03,Meat,2.5538683333333334
2022/04,Meat,3.224417625
2022/05,Meat,3.2654695
2022/06,Meat,3.4072917777777776
2022/07,Meat,3.462692222222222
2022/08,Meat,3.475094111111111
2022/09,Meat,3.6348289
2022/10,Meat,3.7337252
2022/11,Meat,3.5894826666666666
2022/12,Meat,3.541510333333333
2023/01,Meat,3.5397215
2023/02,Meat,3.55776225
2023/03,Meat,3.593073875
2023/04,Meat,3.64113675
2023/05,Meat,3.6363395
2023/06,Meat,3.749908875
2020/01,"Milk, cheese and eggs",0.921095
2020/02,"Milk, cheese and eggs",0.9223895
2020/03,"Milk, cheese and eggs",0.915553
2020/04,"Milk, cheese and eggs",0.92413
2020/05,"Milk, cheese and eggs",0.8923695
2020/06,"Milk, cheese and eggs",0.847465
2020/07,"Milk, cheese and eggs",0.867995
2020/08,"Milk, cheese and eggs",0.8855565
2020/09,"Milk, cheese and eggs",0.8765115
2020/10,"Milk, cheese and eggs",0.873455
2020/11,"Milk, cheese and eggs",0.8525785
2020/12,"Milk, cheese and eggs",0.854463
2021/01,"Milk, cheese and eggs",0.8541825
2021/02,"Milk, cheese and eggs",0.85235
2021/03,"Milk, cheese and eggs",0.941187
2021/04,"Milk, cheese and eggs",0.906115
2021/05,"Milk, cheese and eggs",0.893224
2021/06,"Milk, cheese and eggs",0.8958335
2021/07,"Milk, cheese and eggs",0.9004935000000001
2021/08,"Milk, cheese and eggs",0.9219645
2021/09,"Milk, cheese and eggs",0.91893
2021/10,"Milk, cheese and eggs",0.9112065
2021/11,"Milk, cheese and eggs",0.922905
2021/12,"Milk, cheese and eggs",0.940808
2022/01,"Milk, cheese and eggs",0.9549325
2022/02,"Milk, cheese and eggs",0.9906145
2022/03,"Milk, cheese and eggs",1.0394985
