Year/Month,Category,Price
2020/01,Bread and cereals,2.019720848888889
2020/02,Bread and cereals,2.0297235377777776
2020/03,Bread and cereals,2.0205581511111115
2020/04,Bread and cereals,2.0224772383333334
2020/05,Bread and cereals,1.9377646533333333
2020/06,Bread and cereals,1.867919506666667
2020/07,Bread and cereals,1.900271408888889
2020/08,Bread and cereals,1.896288126666667
2020/09,Bread and cereals,1.9186508966666669
2020/10,Bread and cereals,2.03317649
2020/11,Bread and cereals,2.0961845288888887
2020/12,Bread and cereals,2.098570151111111
2021/01,Bread and cereals,2.1717864266666664
2021/02,Bread and cereals,2.2165677777777777
2021/03,Bread and cereals,2.29083467
2021/04,Bread and cereals,2.323646338333333
2021/05,Bread and cereals,2.3882807366666667
2021/06,Bread and cereals,2.367445515
2021/07,Bread and cereals,2.443677424444444
2021/08,Bread and cereals,2.703403505
2021/09,Bread and cereals,2.960782983333333
2021/10,Bread and cereals,3.1892630633333328
2021/11,Bread and cereals,3.4585277255555558
2021/12,Bread and cereals,3.4002957783333336
2022/01,Bread and cereals,3.3710618966666663
2022/02,Bread and cereals,3.3439168100000005
2022/03,Bread and cereals,4.038815016666666
2022/04,Bread and cereals,3.974772383333333
2022/05,Bread and cereals,4.03580296
2022/06,Bread and cereals,4.063237091666666
2022/07,Bread and cereals,3.8317805916666665
2022/08,Bread and cereals,3.6226880599999993
2022/09,Bread and cereals,3.70732489
2022/10,Bread and cereals,3.80374354
2022/11,Bread and cereals,3.762862862222222
2022/12,Bread and cereals,3.513252221111111
2023/01,Bread and cereals,3.4422195022222226
2023/02,Bread and cereals,3.2689114016666663
2023/03,Bread and cereals,3.06633471
2023/04,Bread and cereals,2.9944895833333334
2023/05,Bread and cereals,2.9172438716666664
2023/06,Bread and cereals,2.82042552
2020/01,Fruit,1.2603355384615385
2020/02,Fruit,1.1683360769230768
2020/03,Fruit,1.0692187692307693
2020/04,Fruit,1.0693828333333333
2020/05,Fruit,1.304202375
2020/06,Fruit,1.2619327333333332
2020/07,Fruit,1.160201846153846
2020/08,Fruit,1.0401663846153846
2020/09,Fruit,0.9958220769230768
2020/10,Fruit,1.1107213333333334
2020/11,Fruit,1.0728152142857144
2020/12,Fruit,0.9662885
2021/01,Fruit,1.152111375
2021/02,Fruit,1.12386
2021/03,Fruit,1.2666898461538465
2021/04,Fruit,1.1464117692307692
2021/05,Fruit,1.1792536875
2021/06,Fruit,1.1212091333333334
2021/07,Fruit,1.096173615384615
2021/08,Fruit,1.2600078
2021/09,Fruit,0.9928518571428572
2021/10,Fruit,1.00019675
2021/11,Fruit,1.0546581875
2021/12,Fruit,0.9576811333333332
2022/01,Fruit,1.2177222666666665
2022/02,Fruit,1.2603856666666668
2022/03,Fruit,1.277471
2022/04,Fruit,1.1964825714285714
2022/05,Fruit,1.453035411764706
2022/06,Fruit,1.241957125
2022/07,Fruit,1.1392125333333332
2022/08,Fruit,1.1823832142857142
2022/09,Fruit,1.1863368125
2022/10,Fruit,1.1462876666666666
2022/11,Fruit,1.0873039375
2022/12,Fruit,1.1143744666666668
2023/01,Fruit,1.3936334666666668
2023/02,Fruit,1.5810452666666668
2023/03,Fruit,1.4724932307692309
2023/04,Fruit,1.504789
2023/05,Fruit,1.498406
2023/06,Fruit,1.4456791538461538
2020/01,Meat,3.123378166666667
2020/02,Meat,3.1113739166666665
2020/03,Meat,3.1696639166666665
2020/04,Meat,2.9752475
2020/05,Meat,2.78085675
2020/06,Meat,2.860504333333333
2020/07,Meat,2.9476661666666666
2020/08,Meat,2.9454741666666666
2020/09,Meat,2.9149898333333333
2020/10,Meat,2.914227083333333
2020/11,Meat,2.88864725
2020/12,Meat,2.8969946666666666
2021/01,Meat,2.9304324166666667
2021/02,Meat,2.925227083333333
2021/03,Meat,3.06490725
2021/04,Meat,3.1789478333333334
2021/05,Meat,3.155230833333333
2021/06,Meat,3.190705833333334
2021/07,Meat,3.1427032500000003
2021/08,Meat,3.0780358333333333
2021/09,Meat,3.121973083333333
2021/10,Meat,3.2171915
2021/11,Meat,3.412676583333333
2021/12,Meat,3.49285425
2022/01,Meat,3.381880666666667
2022/02,Meat,3.4312246666666666
2022/03,Meat,3.6931811666666663
2022/04,Meat,3.8219556666666654
2022/05,Meat,3.836898583333333
2022/06,Meat,3.82597775
2022/07,Meat,3.846310916666667
2022/08,Meat,3.8597280833333336
2022/09,Meat,3.9580261666666665
2022/10,Meat,4.022695416666667
2022/11,Meat,4.1074642500000005
2022/12,Meat,4.172508666666666
2023/01,Meat,4.0601381666666665
2023/02,Meat,4.086743083333333
2023/03,Meat,4.186765416666667
2023/04,Meat,4.2511525
2023/05,Meat,4.27167625
2023/06,Meat,4.2000348333333335
2020/01,"Milk, cheese and eggs",0.6293405
2020/02,"Milk, cheese and eggs",0.6457415
2020/03,"Milk, cheese and eggs",0.6894905
2020/04,"Milk, cheese and eggs",0.6736385
2020/05,"Milk, cheese and eggs",0.6500885
2020/06,"Milk, cheese and eggs",0.5897665
2020/07,"Milk, cheese and eggs",0.5756595
2020/08,"Milk, cheese and eggs",0.5738515
2020/09,"Milk, cheese and eggs",0.6011415
2020/10,"Milk, cheese and eggs",0.6071485
2020/11,"Milk, cheese and eggs",0.6076064999999999
2020/12,"Milk, cheese and eggs",0.601742
2021/01,"Milk, cheese and eggs",0.6043935
2021/02,"Milk, cheese and eggs",0.6088749999999999
2021/03,"Milk, cheese and eggs",0.6722079999999999
2021/04,"Milk, cheese and eggs",0.6369835
2021/05,"Milk, cheese and eggs",0.5903435
2021/06,"Milk, cheese and eggs",0.584405
2021/07,"Milk, cheese and eggs",0.5810615
2021/08,"Milk, cheese and eggs",0.6017355
2021/09,"Milk, cheese and eggs",0.6585985
2021/10,"Milk, cheese and eggs",0.698824
2021/11,"Milk, cheese and eggs",0.7337885
2021/12,"Milk, cheese and eggs",0.7365094999999999
2022/01,"Milk, cheese and eggs",0.7319450000000001
2022/02,"Milk, cheese and eggs",0.7741355
2022/03,"Milk, cheese and eggs",0.92645
2022/04,"Milk, cheese and eggs",1.0016715
2022/05,"Milk, cheese and eggs",0.935563
2022/06,"Milk, cheese and eggs",0.9063985
2022/07,"Milk, cheese and eggs",0.937555
2022/08,"Milk, cheese and eggs",0.947666
2022/09,"Milk, cheese and eggs",1.0316465
2022/10,"Milk, cheese and eggs",1.1305805
2022/11,"Milk, cheese and eggs",1.2518035
2022/12,"Milk, cheese and eggs",1.325392
2023/01,"Milk, cheese and eggs",1.4164725
2023/02,"Milk, cheese and eggs",1.4528355
2023/03,"Milk, cheese and eggs",1.516121
2023/04,"Milk, cheese and eggs",1.47561
2023/05,"Milk, cheese and eggs",1.412847
2023/06,"Milk, cheese and eggs",1.3622535
2020/01,Oils and fats,1.8721163333333333
2020/02,Oils and fats,1.890526666666667
2020/03,Oils and fats,1.920288
2020/04,Oils and fats,2.23217825
2020/05,Oils and fats,2.14027675
2020/06,Oils and fats,2.1740375
2020/07,Oils and fats,2.21369
2020/08,Oils and fats,2.25277175
2020/09,Oils and fats,2.2977915
2020/10,Oils and fats,2.39452425
2020/11,Oils and fats,2.4321435
2020/12,Oils and fats,2.447346
2021/01,Oils and fats,2.4790545
2021/02,Oils and fats,2.64488125
2021/03,Oils and fats,2.7548665
2021/04,Oils and fats,3.03992225
2021/05,Oils and fats,3.36141525
2021/06,Oils and fats,3.3353225
2021/07,Oils and fats,3.3491405
2021/08,Oils and fats,3.3589977500000003
2021/09,Oils and fats,3.39575425
2021/10,Oils and fats,3.41100075
2021/11,Oils and fats,3.5388650000000004
2021/12,Oils and fats,3.68213275
2022/01,Oils and fats,3.70573725
2022/02,Oils and fats,3.810742
2022/03,Oils and fats,4.09168025
2022/04,Oils and fats,4.1307645
2022/05,Oils and fats,4.18616675
2022/06,Oils and fats,4.234082750000001
2022/07,Oils and fats,4.42083475
2022/08,Oils and fats,4.5044830000000005
2022/09,Oils and fats,4.698925249999999
2022/10,Oils and fats,5.07415675
2022/11,Oils and fats,5.158799999999999
2022/12,Oils and fats,5.40207675
2023/01,Oils and fats,5.2783545
2023/02,Oils and fats,5.10373425
2023/03,Oils and fats,5.10205975
2023/04,Oils and fats,5.206129
2023/05,Oils and fats,5.552538
2023/06,Oils and fats,5.890021
2020/01,Vegetables,1.2840925714285716
2020/02,Vegetables,0.9977557142857142
2020/03,Vegetables,1.0559428571428573
2020/04,Vegetables,1.0144912857142856
2020/05,Vegetables,0.9457774285714288
2020/06,Vegetables,0.8641875714285714
2020/07,Vegetables,0.9188362857142855
2020/08,Vegetables,0.9377345714285716
2020/09,Vegetables,1.0478851428571427
2020/10,Vegetables,1.098638
2020/11,Vegetables,0.8514285714285714
2020/12,Vegetables,0.9429572857142856
2021/01,Vegetables,1.432487
2021/02,Vegetables,1.0692428571428572
2021/03,Vegetables,1.0425424285714286
2021/04,Vegetables,1.0101677142857144
2021/05,Vegetables,1.0278414285714286
2021/06,Vegetables,0.9301691428571428
2021/07,Vegetables,0.9455365714285716
2021/08,Vegetables,0.9653685714285716
2021/09,Vegetables,0.9680057142857142
2021/10,Vegetables,0.9375345714285714
2021/11,Vegetables,1.1025854285714285
2021/12,Vegetables,1.252625857142857
2022/01,Vegetables,1.3363258571428571
2022/02,Vegetables,1.187113714285714
2022/03,Vegetables,1.0915257142857142
2022/04,Vegetables,1.1203985714285714
2022/05,Vegetables,0.970664
2022/06,Vegetables,1.0220451428571429
2022/07,Vegetables,1.1180954285714286
2022/08,Vegetables,1.1910542857142856
2022/09,Vegetables,1.355527142857143
2022/10,Vegetables,1.175029857142857
2022/11,Vegetables,1.2357181428571429
2022/12,Vegetables,1.3153027142857143
2023/01,Vegetables,1.271274
2023/02,Vegetables,1.5368002857142855
2023/03,Vegetables,1.188166857142857
2023/04,Vegetables,1.040662
2023/05,Vegetables,1.0901904285714286
2023/06,Vegetables,0.9735411428571428
