Year/Month,Category,Price
2020/01,Bread and cereals,1.857957
2020/02,Bread and cereals,1.854368
2020/03,Bread and cereals,1.809731
2020/04,Bread and cereals,1.871222333333333
2020/05,Bread and cereals,1.8550536666666664
2020/06,Bread and cereals,1.850889
2020/07,Bread and cereals,1.7804303333333331
2020/08,Bread and cereals,1.870752666666667
2020/09,Bread and cereals,1.8814443333333333
2020/10,Bread and cereals,2.0473656666666664
2020/11,Bread and cereals,2.093611333333333
2020/12,Bread and cereals,2.0912900000000003
2021/01,Bread and cereals,2.2623116666666667
2021/02,Bread and cereals,2.3408333333333338
2021/03,Bread and cereals,2.345053666666667
2021/04,Bread and cereals,2.311
2021/05,Bread and cereals,2.589247
2021/06,Bread and cereals,2.5778333333333334
2021/07,Bread and cereals,2.18870625
2021/08,Bread and cereals,2.4892473333333336
2021/09,Bread and cereals,2.420166666666667
2021/10,Bread and cereals,2.6680643333333336
2021/11,Bread and cereals,2.8922776666666667
2021/12,Bread and cereals,2.814086
2022/01,Bread and cereals,2.788494666666667
2022/02,Bread and cereals,2.8395833333333336
2022/03,Bread and cereals,3.8906183333333337
2022/04,Bread and cereals,3.906333
2022/05,Bread and cereals,3.9133333333333336
2022/06,Bread and cereals,3.691777666666667
2022/07,Bread and cereals,3.3525270000000003
2022/08,Bread and cereals,3.380134333333333
2022/09,Bread and cereals,3.3287223333333333
2022/10,Bread and cereals,3.458387
2022/11,Bread and cereals,3.353778
2022/12,Bread and cereals,3.062258
2023/01,Bread and cereals,2.963011
2023/02,Bread and cereals,2.949226
2023/03,Bread and cereals,2.7080106666666666
2023/04,Bread and cereals,2.538000333333333
2023/05,Bread and cereals,2.3798926666666667
2023/06,Bread and cereals,2.3529446666666662
2020/01,Fruit,0.7017618999999999
2020/02,Fruit,0.812188
2020/03,Fruit,1.00732275
2020/04,Fruit,0.80754925
2020/05,Fruit,0.671254
2020/06,Fruit,0.7637017500000001
2020/07,Fruit,0.815641
2020/08,Fruit,0.87383225
2020/09,Fruit,0.7621817999999999
2020/10,Fruit,0.8377136000000001
2020/11,Fruit,0.7625870000000001
2020/12,Fruit,0.9572
2021/01,Fruit,0.998701
2021/02,Fruit,1.18781875
2021/03,Fruit,0.92332425
2021/04,Fruit,0.88937325
2021/05,Fruit,0.676466
2021/06,Fruit,0.7281545
2021/07,Fruit,0.8625868000000001
