Year/Month,Price
2021/01,
2021/02,
2021/03,4.229200000000001
2021/04,4.1873
2021/05,4.07166
2021/06,3.99342
2021/07,3.87896
2021/08,4.021
2021/09,4.224959999999999
2021/10,4.77648
2021/11,5.39832
2021/12,5.894299999999999
2022/01,5.97816
2022/02,6.0589
2022/03,6.771879999999999
2022/04,7.39448
2022/05,7.27184
2022/06,7.2889
2022/07,7.09216
2022/08,7.0499
2022/09,7.1219
2022/10,6.67042
2022/11,6.15266
2022/12,5.44294
2023/01,4.7319
2023/02,4.7969
2023/03,4.9724
2023/04,4.84825
2023/05,4.77176
2023/06,4.77288
