Year/Month,Price
2021/01,1.412935
2021/02,0.6859999999999999
2021/03,
2021/04,1.222423
2021/05,1.31371
2021/06,0.570433
2021/07,0.981065
2021/08,0.578516
2021/09,0.7366670000000001
2021/10,0.59729
2021/11,0.883667
2021/12,1.088516
2022/01,0.6374839999999999
2022/02,0.51337
2022/03,1.039
2022/04,0.7945220000000001
2022/05,0.637903
2022/06,1.35499
2022/07,0.651161
2022/08,0.749935
2022/09,1.181367
2022/10,1.141387
2022/11,0.7137
2022/12,1.104903
2023/01,0.889727
2023/02,
2023/03,2.18
2023/04,1.417304
2023/05,1.498875
2023/06,1.480167
