Year/Month,Price
2021/01,0.703481
2021/02,0.6881875
2021/03,0.7054125
2021/04,0.679779
2021/05,0.5959275
2021/06,0.588596
2021/07,0.6317945
2021/08,0.6765505
2021/09,0.7762945
2021/10,0.776829
2021/11,0.788431
2021/12,0.8396570000000001
2022/01,0.7651144999999999
2022/02,0.8193115
2022/03,0.934406
2022/04,1.0356555
2022/05,0.978203
2022/06,0.969843
2022/07,1.003404
2022/08,1.09866
2022/09,1.1555995
2022/10,1.2534085
2022/11,1.3376895000000002
2022/12,1.4429565
2023/01,1.4019155
2023/02,1.367115
2023/03,1.470126
2023/04,1.3948035
2023/05,1.206725
2023/06,1.137776
