Year/Month,Price
2021/01,1.345281
2021/02,1.710553
2021/03,1.312342
2021/04,1.097394
2021/05,1.081654
2021/06,
2021/07,0.7883490000000001
2021/08,0.7747845
2021/09,0.8979360000000001
2021/10,0.766884
2021/11,0.997955
2021/12,1.758871
2022/01,1.598323
2022/02,2.60226
2022/03,2.034973
2022/04,1.952858
2022/05,0.928982
2022/06,0.756928
2022/07,0.8496075
2022/08,0.8564434999999999
2022/09,0.865328
2022/10,0.875543
2022/11,1.0188160000000002
2022/12,1.23629
2023/01,1.416407
2023/02,1.410822
2023/03,1.472543
2023/04,1.47135
2023/05,1.134978
2023/06,1.032518
