Year/Month,Price
2021/01,2.2466635
2021/02,2.318696875
2021/03,2.38143175
2021/04,2.377904125
2021/05,2.394272375
2021/06,2.394820875
2021/07,2.380901125
2021/08,2.5893
2021/09,2.466433375
2021/10,2.55524
2021/11,2.697944125
2021/12,2.792522
2022/01,2.924000125
2022/02,3.065074375
2022/03,3.251971
2022/04,3.38587625
2022/05,3.523139125
2022/06,3.5791375
2022/07,3.57275225
2022/08,3.58942875
2022/09,3.606483375
2022/10,3.609585125
2022/11,3.522881625
2022/12,3.479410875
2023/01,3.3220581250000003
2023/02,3.166554125
2023/03,3.12261225
2023/04,3.077400875
2023/05,3.036839875
2023/06,2.947625375
