Year/Month,Price
2021/01,0.6043935
2021/02,0.6088749999999999
2021/03,0.6722079999999999
2021/04,0.6369835
2021/05,0.5903435
2021/06,0.584405
2021/07,0.5810615
2021/08,0.6017355
2021/09,0.6585985
2021/10,0.698824
2021/11,0.7337885
2021/12,0.7365094999999999
2022/01,0.7319450000000001
2022/02,0.7741355
2022/03,0.92645
2022/04,1.0016715
2022/05,0.935563
2022/06,0.9063985
2022/07,0.937555
2022/08,0.947666
2022/09,1.0316465
2022/10,1.1305805
2022/11,1.2518035
2022/12,1.325392
2023/01,1.4164725
2023/02,1.4528355
2023/03,1.516121
2023/04,1.47561
2023/05,1.412847
2023/06,1.3622535
