Year/Month,Price
2021/01,2.4790545
2021/02,2.64488125
2021/03,2.7548665
2021/04,3.03992225
2021/05,3.36141525
2021/06,3.3353225
2021/07,3.3491405
2021/08,3.3589977500000003
2021/09,3.39575425
2021/10,3.41100075
2021/11,3.5388650000000004
2021/12,3.68213275
2022/01,3.70573725
2022/02,3.810742
2022/03,4.09168025
2022/04,4.1307645
2022/05,4.18616675
2022/06,4.234082750000001
2022/07,4.42083475
2022/08,4.5044830000000005
2022/09,4.698925249999999
2022/10,5.07415675
2022/11,5.158799999999999
2022/12,5.40207675
2023/01,5.2783545
2023/02,5.10373425
2023/03,5.10205975
2023/04,5.206129
2023/05,5.552538
2023/06,5.890021
