Year/Month,Price
2021/01,0.8528485
2021/02,0.838246
2021/03,0.832694
2021/04,0.8585635
2021/05,0.8405075
2021/06,0.8527185
2021/07,0.850824
2021/08,0.848233
2021/09,0.8617895
2021/10,0.9302925
2021/11,0.94667
2021/12,0.9414815
2022/01,0.962324
2022/02,0.957424
2022/03,0.994027
2022/04,1.079083
2022/05,1.1554105
2022/06,1.200515
2022/07,1.2317755
2022/08,1.320062
2022/09,1.330588
2022/10,1.4458510000000002
2022/11,1.562078
2022/12,1.7276375
2023/01,1.7189365
2023/02,1.6972105
2023/03,1.709497
2023/04,1.70497
2023/05,1.6804405
2023/06,1.676155
