Year/Month,Price
2021/01,3.07883075
2021/02,3.186875
2021/03,3.3204435
2021/04,3.43233325
2021/05,3.479113
2021/06,3.4294165
2021/07,3.36298375
2021/08,3.3163975
2021/09,3.33016675
2021/10,3.45496775
2021/11,3.59183325
2021/12,3.5464475
2022/01,3.74558175
2022/02,3.7911785
2022/03,4.01979175
2022/04,4.206125
2022/05,4.22680425
2022/06,4.2325835
2022/07,4.2454355
2022/08,4.29125
2022/09,4.48556525
2022/10,4.7229515
2022/11,4.80080775
2022/12,4.753410714285715
2023/01,4.9230625
2023/02,4.829643
2023/03,4.91125
2023/04,4.962174
2023/05,5.3186272500000005
2023/06,5.6341665
