Year/Month,Price
2021/01,0.789637
2021/02,0.83125
2021/03,0.869476
2021/04,0.8366665
2021/05,0.794597
2021/06,0.8068335
2021/07,0.783629
2021/08,1.6282742
2021/09,1.7191333999999998
2021/10,1.838058
2021/11,1.9913666
2021/12,2.107698
2022/01,0.892258
2022/02,2.3290428
2022/03,2.5604322
2022/04,2.6674666
2022/05,2.553258
2022/06,2.5228666
2022/07,2.3666322
2022/08,2.3076516
2022/09,2.3889666
2022/10,2.3545
2022/11,2.2449666
2022/12,2.0762588
2023/01,1.9960258
2023/02,1.9744714
2023/03,1.9742904
2023/04,1.8898666
2023/05,1.9096226
2023/06,1.8634334
