Year/Month,Price
2021/01,3.27646
2021/02,3.429775
2021/03,3.7099
2021/04,3.90424
2021/05,3.88738
2021/06,3.9321
2021/07,3.85064
2021/08,3.91134
2021/09,4.211139999999999
2021/10,4.706720000000001
2021/11,5.357279999999999
2021/12,5.670875
2022/01,5.68192
2022/02,5.55438
2022/03,5.78665
2022/04,6.5532
2022/05,6.74868
2022/06,6.84802
2022/07,6.84125
2022/08,6.82676
2022/09,6.84168
2022/10,6.88742
2022/11,6.73714
2022/12,6.207079999999999
2023/01,5.26226
2023/02,4.6232
2023/03,4.6734
2023/04,4.665575
2023/05,4.445475
2023/06,4.5345
