Year/Month,Price
2021/01,0.7623305
2021/02,0.857
2021/03,0.9699095
2021/04,0.9550015
2021/05,0.975013
2021/06,0.96022
2021/07,0.9238275
2021/08,0.916755
2021/09,0.9184035
2021/10,0.9148825
2021/11,0.9282765
2021/12,0.917629
2022/01,0.899571
2022/02,0.979134
2022/03,0.9897015
2022/04,1.0729350000000002
2022/05,0.9880145
2022/06,1.0132165
2022/07,1.030379
2022/08,1.008797
2022/09,1.0962285
2022/10,1.237124
2022/11,1.3202065
2022/12,1.3369885
2023/01,1.334347
2023/02,1.265534
2023/03,1.3811175
2023/04,1.37736
2023/05,1.3973015
2023/06,1.3917585
