Year/Month,Fraud
2021/01,-0.18461036981532103
2021/02,-0.20121390851234072
2021/03,-0.1683704906863347
2021/04,-0.2047644305051271
2021/05,-0.28142377230293103
2021/06,-0.22999667241257687
2021/07,-0.22129022128888068
2021/08,-0.26262903622562384
2021/09,-0.31132022469621545
2021/10,-0.35927099920679056
2021/11,-0.3224035302950517
2021/12,-0.33833504159697225
2022/01,-0.2753180545771826
2022/02,-0.2260318922256946
2022/03,-0.3129435597530323
2022/04,-0.28950219564918045
2022/05,-0.2260822629024168
2022/06,-0.28815203579549475
2022/07,-0.28085523723510325
2022/08,-0.19922360227231403
2022/09,-0.1824536402136956
2022/10,-0.16237184589471274
2022/11,-0.09448222089260905
2022/12,-0.04733018650866656
2023/01,0.014344536547940264
2023/02,0.04401797104842406
2023/03,0.18751479024788106
2023/04,0.26873749940619707
2023/05,0.4556923489480938
2023/06,0.6928704257767478
