Year/Month,Price,Salary,Ratio,Inverse Ratio
2021/01,,2427.57,,
2021/02,,2427.57,,
2021/03,,2427.57,,
2021/04,,2427.57,,
2021/05,,2427.57,,
2021/06,,2427.57,,
2021/07,,2427.57,,
2021/08,,2427.57,,
2021/09,,2427.57,,
2021/10,,2427.57,,
2021/11,,2427.57,,
2021/12,,2427.57,,
2022/01,,2161.45,,
2022/02,,2161.45,,
2022/03,,2161.45,,
2022/04,,2161.45,,
2022/05,,2161.45,,
2022/06,,2161.45,,
2022/07,,2161.45,,
2022/08,,2161.45,,
2022/09,,2161.45,,
2022/10,,2161.45,,
2022/11,,2161.45,,
2022/12,,2161.45,,
2023/01,,2449.18,,
2023/02,,2449.18,,
2023/03,,2449.18,,
2023/04,,2449.18,,
2023/05,,2449.18,,
2023/06,,2449.18,,
