Year/Month,Price,Salary,Ratio,Inverse Ratio
2021/01,,880.52,,
2021/02,,880.52,,
2021/03,,880.52,,
2021/04,,880.52,,
2021/05,,880.52,,
2021/06,,880.52,,
2021/07,,880.52,,
2021/08,,880.52,,
2021/09,,880.52,,
2021/10,,880.52,,
2021/11,,880.52,,
2021/12,,880.52,,
2022/01,,792.43,,
2022/02,,792.43,,
2022/03,,792.43,,
2022/04,,792.43,,
2022/05,,792.43,,
2022/06,,792.43,,
2022/07,,792.43,,
2022/08,,792.43,,
2022/09,,792.43,,
2022/10,,792.43,,
2022/11,,792.43,,
2022/12,,792.43,,
2023/01,,893.56,,
2023/02,,893.56,,
2023/03,,893.56,,
2023/04,,893.56,,
2023/05,,893.56,,
2023/06,,893.56,,
