Year/Month,Price,Salary,Ratio,Inverse Ratio
2021/01,,2698.41,,
2021/02,,2698.41,,
2021/03,,2698.41,,
2021/04,,2698.41,,
2021/05,,2698.41,,
2021/06,,2698.41,,
2021/07,,2698.41,,
2021/08,,2698.41,,
2021/09,,2698.41,,
2021/10,,2698.41,,
2021/11,,2698.41,,
2021/12,,2698.41,,
2022/01,,2283.0,,
2022/02,,2283.0,,
2022/03,,2283.0,,
2022/04,,2283.0,,
2022/05,,2283.0,,
2022/06,,2283.0,,
2022/07,,2283.0,,
2022/08,,2283.0,,
2022/09,,2283.0,,
2022/10,,2283.0,,
2022/11,,2283.0,,
2022/12,,2283.0,,
2023/01,,2409.01,,
2023/02,,2409.01,,
2023/03,,2409.01,,
2023/04,,2409.01,,
2023/05,,2409.01,,
2023/06,,2409.01,,
