Year/Month,Price,Salary,Ratio,Inverse Ratio
2021/01,,948.59,,
2021/02,,948.59,,
2021/03,,948.59,,
2021/04,,948.59,,
2021/05,,948.59,,
2021/06,,948.59,,
2021/07,,948.59,,
2021/08,,948.59,,
2021/09,,948.59,,
2021/10,,948.59,,
2021/11,,948.59,,
2021/12,,948.59,,
2022/01,,926.09,,
2022/02,,926.09,,
2022/03,,926.09,,
2022/04,,926.09,,
2022/05,,926.09,,
2022/06,,926.09,,
2022/07,,926.09,,
2022/08,,926.09,,
2022/09,,926.09,,
2022/10,,926.09,,
2022/11,,926.09,,
2022/12,,926.09,,
2023/01,,1073.52,,
2023/02,,1073.52,,
2023/03,,1073.52,,
2023/04,,1073.52,,
2023/05,,1073.52,,
2023/06,,1073.52,,
