Year/Month,Price,Salary,Ratio,Inverse Ratio
2021/01,2.2608452,1697.57,750.8563611520152,0.0013318126498465454
2021/02,2.345175,1697.57,723.8564286247296,0.0013814894231165724
2021/03,2.33292295,1697.57,727.6579794459135,0.0013742720182378342
2021/04,2.339587825,1697.57,725.5850718063981,0.0013781981449954937
2021/05,2.4911064166666668,1697.57,681.4522208455098,0.001467454312144222
2021/06,2.4439855,1697.57,694.5908639801668,0.0014396964484527884
2021/07,2.4799140727272726,1697.57,684.5277498397782,0.0014608611560803222
2021/08,2.829065884469697,1697.57,600.0461174548454,0.0016665385724710599
2021/09,3.033341272727273,1697.57,559.6369967543142,0.0017868725723989426
2021/10,3.3074914359848484,1697.57,513.2500061922387,0.0019483682180910645
2021/11,3.4956735246212123,1697.57,485.6202926398703,0.0020592220200764694
2021/12,3.5106215545454544,1697.57,483.55254863687423,0.0020680275656058096
2022/01,3.553308394318182,1466.72,412.77588017559003,0.0024226221735015423
2022/02,3.5198644484848485,1466.72,416.69786478037827,0.0023998203123192213
2022/03,4.107475671969697,1466.72,357.0854990107951,0.0028004497599880664
2022/04,4.156486281818182,1466.72,352.8749767359773,0.0028338648697898592
2022/05,4.189168821969696,1466.72,350.1219603058074,0.002856147609611716
2022/06,4.002081686111112,1466.72,366.4892710936232,0.002728592837154407
2022/07,3.826771496969696,1466.72,383.27869880954506,0.00260906750911537
2022/08,3.8700494590909096,1466.72,378.99257244752073,0.002638574137593344
2022/09,3.7731006117424246,1466.72,388.73068887571117,0.0025724750543678577
2022/10,3.819647095328283,1466.72,383.9935898250677,0.002604210139173314
2022/11,3.786735133838384,1466.72,387.3310247905495,0.0025817709813995746
2022/12,3.639453097348485,1466.72,403.0056057237214,0.0024813550625535103
2023/01,3.500642381818181,1651.06,471.644863975641,0.0021202393503677525
2023/02,3.2451847392676765,1651.06,508.77226803814744,0.001965515934773828
2023/03,3.085886418055556,1651.06,535.0358944968388,0.001869033480343268
2023/04,2.841651179166667,1651.06,581.0213484697247,0.0017211071548984694
2023/05,2.7312260125,1651.06,604.5124030173977,0.0016542257776822164
2023/06,2.5830693159722222,1651.06,639.18532491203,0.0015644914878758024
