Year/Month,Price,Salary,Ratio,Inverse Ratio
2021/01,2.4505043,897.75,366.35316248985976,0.002729606571985519
2021/02,2.5369022,897.75,353.8764718639922,0.002825844834307992
2021/03,2.8735446,897.75,312.4190242253418,0.0032008294068504592
2021/04,2.9544722,897.75,303.8613800461551,0.0032909743247006404
2021/05,3.0028751,897.75,298.9634833629944,0.0033448901141743246
2021/06,3.0853875,897.75,290.96831435273526,0.003436800334168755
2021/07,3.0340697,897.75,295.8897087960768,0.003379637649679755
2021/08,3.1423015454545453,897.75,285.69823328974536,0.0035001966532492846
2021/09,3.138536454545455,897.75,286.04096622800535,0.0034960027341079977
2021/10,3.240984272727273,897.75,276.9991843386971,0.003610118933697881
2021/11,3.3184327272727274,897.75,270.5343376774797,0.0036963884458621303
2021/12,3.4096696363636365,897.75,263.29530298936453,0.00379801686033265
2022/01,3.564871,972.23,272.7251561136434,0.0036666951235818685
2022/02,3.4871705,972.23,278.80196853007334,0.0035867752486551537
2022/03,4.1417389,972.23,234.73956796262556,0.004260040216821122
2022/04,4.460944111111111,972.23,217.9426542418263,0.004588362950239255
2022/05,4.5105784,972.23,215.54441887098116,0.004639414953251803
2022/06,4.360763,972.23,222.9495159448014,0.004485320346008661
2022/07,4.2630775,972.23,228.0582513454189,0.0043848446355286294
2022/08,4.3725157,972.23,222.3502593712814,0.004497408740730074
2022/09,4.243035222222222,972.23,229.1355006689787,0.00436422988616091
2022/10,4.1839973,972.23,232.36869679624317,0.0043035056519547836
2022/11,4.2544001,972.23,228.52340568532802,0.004375919381216379
2022/12,4.2925434000000005,972.23,226.49275951409132,0.00441515217592545
2023/01,3.731396125,1197.92,321.03801362017015,0.003114895923767864
2023/02,3.689516625,1197.92,324.6820984307125,0.003079935742787498
2023/03,4.5140509,1197.92,265.3758290585514,0.0037682407005476155
2023/04,4.5848641,1197.92,261.2771008850622,0.0038273541638840654
2023/05,4.5941975,1197.92,260.7463000883179,0.0038351455022038196
2023/06,4.4830118,1197.92,267.2132159009709,0.0037423298717777476
