Year/Month,Price,Salary,Ratio,Inverse Ratio
2021/01,,681.8,,
2021/02,,681.8,,
2021/03,,681.8,,
2021/04,,681.8,,
2021/05,,681.8,,
2021/06,,681.8,,
2021/07,,681.8,,
2021/08,,681.8,,
2021/09,,681.8,,
2021/10,,681.8,,
2021/11,,681.8,,
2021/12,,681.8,,
2022/01,,702.76,,
2022/02,,702.76,,
2022/03,,702.76,,
2022/04,,702.76,,
2022/05,,702.76,,
2022/06,,702.76,,
2022/07,,702.76,,
2022/08,,702.76,,
2022/09,,702.76,,
2022/10,,702.76,,
2022/11,,702.76,,
2022/12,,702.76,,
2023/01,,755.41,,
2023/02,,755.41,,
2023/03,,755.41,,
2023/04,,755.41,,
2023/05,,755.41,,
2023/06,,755.41,,
