Year/Month,Price,Salary,Ratio,Inverse Ratio
2021/01,,1319.39,,
2021/02,,1319.39,,
2021/03,,1319.39,,
2021/04,,1319.39,,
2021/05,,1319.39,,
2021/06,,1319.39,,
2021/07,,1319.39,,
2021/08,,1319.39,,
2021/09,,1319.39,,
2021/10,,1319.39,,
2021/11,,1319.39,,
2021/12,,1319.39,,
2022/01,,1173.4,,
2022/02,,1173.4,,
2022/03,,1173.4,,
2022/04,,1173.4,,
2022/05,,1173.4,,
2022/06,,1173.4,,
2022/07,,1173.4,,
2022/08,,1173.4,,
2022/09,,1173.4,,
2022/10,,1173.4,,
2022/11,,1173.4,,
2022/12,,1173.4,,
2023/01,,1355.32,,
2023/02,,1355.32,,
2023/03,,1355.32,,
2023/04,,1355.32,,
2023/05,,1355.32,,
2023/06,,1355.32,,
